,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
12,"frozenset({'RSI=HIGH', 'Vol=HIGH', 'Price=UP'})",frozenset({'Trend=UP'}),0.0847953216374269,0.6967418546365914,0.0847953216374269,1.0,1.4352517985611513,1.0,0.02571487197525979,inf,0.33135554541305345,0.12170263788968826,1.0,0.5608513189448441
8,"frozenset({'RSI=HIGH', 'Price=UP'})",frozenset({'Trend=UP'}),0.16791979949874686,0.6967418546365914,0.16750208855472012,0.9975124378109452,1.4316815204552775,1.0,0.05050533602175866,121.90977443608807,0.3623696782141034,0.24026363091671663,0.9917972122856789,0.6189600558359283
3,frozenset({'RSI=HIGH'}),frozenset({'Trend=UP'}),0.23976608187134502,0.6967418546365914,0.23893065998329155,0.9965156794425087,1.4302509212142482,1.0,0.07187559542130179,87.03508771929897,0.3956966110812264,0.3425149700598802,0.9885103809715784,0.6697206694574653
10,"frozenset({'RSI=HIGH', 'Vol=HIGH'})",frozenset({'Trend=UP'}),0.11904761904761904,0.6967418546365914,0.11862990810359231,0.9964912280701754,1.4302158273381296,1.0,0.0356844492182838,86.42857142857117,0.34145413018652454,0.1701617735170761,0.9884297520661157,0.5833775085195002
5,"frozenset({'Vol=HIGH', 'Price=UP'})",frozenset({'Trend=UP'}),0.17502088554720133,0.6967418546365914,0.15162907268170425,0.8663484486873508,1.2434281691591835,1.0,0.029684696285408596,2.269020766201218,0.23730515744324726,0.2105568445475638,0.5592812481508511,0.5419871739839632
2,frozenset({'Vol=HIGH'}),frozenset({'Trend=UP'}),0.29448621553884713,0.6967418546365914,0.24561403508771928,0.8340425531914892,1.1970610745446195,1.0,0.04043316310827191,1.827324722061563,0.233334541631928,0.32941176470588235,0.4527518902760679,0.5932802694015
0,frozenset({'Price=UP'}),frozenset({'Trend=UP'}),0.543859649122807,0.6967418546365914,0.41311612364243944,0.7596006144393241,1.0902181480621955,1.0,0.03418634305060897,1.2614763746426774,0.18141868242980472,0.4992428066633014,0.2072780591842177,0.6762631369558731
11,"frozenset({'Trend=UP', 'RSI=HIGH', 'Vol=HIGH'})",frozenset({'Price=UP'}),0.11862990810359231,0.543859649122807,0.0847953216374269,0.7147887323943662,1.3142889595638347,1.0,0.020277301440736334,1.59930690924843,0.27131884294819403,0.1467823571945047,0.37472914409534136,0.43535135544449494
6,"frozenset({'RSI=HIGH', 'Vol=HIGH'})",frozenset({'Price=UP'}),0.11904761904761904,0.543859649122807,0.0847953216374269,0.712280701754386,1.3096774193548386,1.0,0.020050125313283207,1.5853658536585364,0.2684063373718546,0.14667630057803466,0.3692307692307692,0.4340973401245048
13,"frozenset({'RSI=HIGH', 'Vol=HIGH'})","frozenset({'Trend=UP', 'Price=UP'})",0.11904761904761904,0.41311612364243944,0.0847953216374269,0.712280701754386,1.7241658240647117,1.0,0.03561483072761268,2.039779326364692,0.47676740780189053,0.18954248366013068,0.5097508896797153,0.45876926897628295
